"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"UAE";" 9912";"0";"G";"SBKP";"GOOY";"09/12/2014 23:16";"10/12/2014 19:02";"10/12/2014 05:50";"11/12/2014 01:07";"Realizado";"MX"
"UAE";" 9912";"0";"G";"SBKP";"GOOY";"02/12/2014 23:16";"02/12/2014 18:22";"03/12/2014 05:50";"03/12/2014 00:55";"Realizado";"MX"
"UAE";" 9912";"0";"G";"SBKP";"GOOY";"16/12/2014 23:16";"17/12/2014 18:16";"17/12/2014 05:50";"18/12/2014 00:36";"Realizado";"MX"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"18/12/2014 03:20";"18/12/2014 03:38";"18/12/2014 05:50";"18/12/2014 05:47";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"20/12/2014 03:20";"20/12/2014 03:40";"20/12/2014 05:50";"20/12/2014 05:47";"Realizado";"RA"
"AZU";" 2505";"0";"N";"SBSM";"SBPA";"30/12/2014 05:10";"30/12/2014 04:55";"30/12/2014 05:50";"30/12/2014 05:39";"Realizado";"HD"
"AZU";" 2505";"0";"N";"SBSM";"SBPA";"19/12/2014 05:10";"19/12/2014 04:57";"19/12/2014 05:50";"19/12/2014 05:39";"Realizado";"HD"
"AZU";" 2799";"0";"N";"SBSG";"SBCF";"29/12/2014 03:00";"29/12/2014 02:46";"29/12/2014 05:50";"29/12/2014 05:20";"Realizado";"HD"
"AZU";" 2799";"0";"N";"SBSG";"SBCF";"05/12/2014 03:00";"05/12/2014 02:47";"05/12/2014 05:50";"05/12/2014 05:16";"Realizado";"HD"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"03/12/2014 03:20";"03/12/2014 04:18";"03/12/2014 05:50";"03/12/2014 06:32";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"24/12/2014 03:20";"24/12/2014 04:19";"24/12/2014 05:50";"24/12/2014 06:31";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"04/12/2014 03:20";"04/12/2014 04:07";"04/12/2014 05:50";"04/12/2014 06:31";"Realizado";"MX"
"AZU";" 2505";"0";"N";"SBSM";"SBPA";"08/12/2014 05:10";"08/12/2014 05:30";"08/12/2014 05:50";"08/12/2014 06:17";"Realizado";"GF"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"23/12/2014 03:20";"23/12/2014 04:15";"23/12/2014 05:50";"23/12/2014 06:16";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"31/12/2014 03:20";"31/12/2014 04:10";"31/12/2014 05:50";"31/12/2014 06:15";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"27/12/2014 03:20";"27/12/2014 04:00";"27/12/2014 05:50";"27/12/2014 06:12";"Realizado";"TC"
"AZU";" 2505";"0";"N";"SBSM";"SBPA";"04/12/2014 05:10";"04/12/2014 05:10";"04/12/2014 05:50";"04/12/2014 06:11";"Realizado";"AT"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"16/12/2014 03:20";"16/12/2014 04:10";"16/12/2014 05:50";"16/12/2014 06:10";"Realizado";"RA"
"RIO";" 5973";"0";"L";"SBGR";"SBSV";"17/12/2014 03:20";"17/12/2014 03:58";"17/12/2014 05:50";"17/12/2014 06:09";"Realizado";"TC"
"AZU";" 2505";"0";"N";"SBSM";"SBPA";"27/12/2014 05:10";"27/12/2014 05:10";"27/12/2014 05:50";"27/12/2014 06:07";"Realizado";"AT"
"AZU";" 2799";"0";"N";"SBSG";"SBCF";"24/12/2014 03:00";"24/12/2014 03:28";"24/12/2014 05:50";"24/12/2014 06:06";"Realizado";"MX"
